Id,Neighborhood,HouseStyle,OverallCond,YearBuilt,RoofStyle,RoofMatl,Foundation,Heating,CentralAir,Electrical,Fireplaces,GarageArea,MoSold,YrSold
1520,NAmes,1Story,5,1959,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,308,05,2010
1521,NAmes,1Story,5,1959,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,312,05,2010
1522,NAmes,1Story,5,1959,Gable,CompShg,CBlock,GasA,Y,SBrkr,2,440,06,2010
1523,NAmes,1.5Fin,5,1956,Gable,CompShg,CBlock,GasA,Y,FuseA,0,263,02,2010
1524,NAmes,1Story,7,1952,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,318,05,2010
1525,NAmes,1Story,6,1955,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,305,06,2010
1526,NAmes,1Story,5,1958,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,264,04,2010
1527,NAmes,1Story,7,1920,Gable,CompShg,BrkTil,GasA,Y,SBrkr,0,676,04,2010
1528,NAmes,1.5Fin,8,1948,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,280,05,2010
1529,NAmes,1Story,6,1960,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,484,06,2010
1530,NAmes,1Story,7,1963,Hip,CompShg,CBlock,GasA,Y,SBrkr,1,440,05,2010
1531,OldTown,1.5Fin,5,1900,Hip,CompShg,PConc,GasA,Y,SBrkr,2,240,01,2010
1532,OldTown,1Story,7,1920,Gable,CompShg,PConc,GasA,Y,SBrkr,1,0,05,2010
1533,OldTown,1Story,7,1957,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,551,06,2010
1534,OldTown,1.5Fin,7,1938,Gable,CompShg,PConc,GasA,Y,SBrkr,0,240,01,2010
1535,OldTown,1.5Fin,7,1948,Gable,CompShg,BrkTil,GasA,Y,SBrkr,1,240,06,2010
1536,OldTown,1.5Fin,6,1920,Gable,CompShg,BrkTil,GasA,Y,SBrkr,0,315,03,2010
1537,OldTown,1Story,2,1923,Gable,CompShg,BrkTil,GasA,N,SBrkr,1,780,06,2010
1538,OldTown,2Story,9,1900,Gable,CompShg,BrkTil,GasW,N,SBrkr,0,288,04,2010
1539,OldTown,2Story,9,1890,Gable,CompShg,Stone,GasA,Y,SBrkr,0,624,04,2010
1540,OldTown,2Story,3,1910,Gable,CompShg,BrkTil,Grav,N,FuseF,0,0,06,2010
1541,OldTown,2Story,7,1922,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,624,06,2010
1542,BrkSide,1.5Fin,6,1950,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,363,03,2010
1543,BrkSide,2.5Unf,7,1922,Gable,CompShg,BrkTil,GasA,N,FuseA,1,315,05,2010
1544,BrkSide,1Story,7,1925,Gable,CompShg,BrkTil,GasA,N,FuseF,0,200,04,2010
1545,BrkSide,1.5Fin,7,1939,Gable,CompShg,BrkTil,GasA,Y,SBrkr,0,240,04,2010
1546,BrkSide,1.5Fin,6,1940,Gable,CompShg,CBlock,GasA,Y,FuseA,2,576,03,2010
1547,BrkSide,1.5Fin,6,1942,Gable,CompShg,CBlock,GasA,Y,FuseA,2,240,03,2010
1548,BrkSide,1.5Fin,7,1948,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,312,03,2010
1549,BrkSide,1.5Fin,7,1936,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,624,05,2010
1550,BrkSide,1.5Fin,5,1930,Gable,CompShg,BrkTil,GasA,Y,FuseF,1,480,03,2010
1551,OldTown,1Story,5,1923,Gable,CompShg,BrkTil,GasA,Y,SBrkr,1,288,03,2010
1552,OldTown,1.5Fin,5,1915,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,572,06,2010
1553,OldTown,2Story,8,1912,Gable,CompShg,PConc,GasA,Y,SBrkr,0,0,05,2010
1554,OldTown,2Story,8,1920,Gable,CompShg,BrkTil,GasA,Y,SBrkr,0,180,02,2010
1555,ClearCr,1Story,5,1959,Gable,CompShg,CBlock,GasA,Y,SBrkr,2,365,05,2010
1556,ClearCr,1.5Fin,3,1917,Gable,CompShg,BrkTil,GasA,N,SBrkr,0,180,01,2010
1557,SWISU,1.5Fin,4,1915,Gable,CompShg,BrkTil,GasA,N,SBrkr,0,0,02,2010
1558,SWISU,1.5Fin,5,1940,Gable,CompShg,CBlock,GasA,N,SBrkr,0,231,03,2010
1559,SWISU,2Story,1,1907,Gambrel,CompShg,CBlock,GasW,N,SBrkr,0,0,03,2010
1560,SWISU,1.5Fin,7,1910,Gable,CompShg,BrkTil,GasA,Y,SBrkr,1,450,06,2010
1561,Sawyer,1Story,3,1967,Gable,Tar&Grv,CBlock,GasA,N,SBrkr,0,0,05,2010
1562,Sawyer,1Story,7,1966,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,416,06,2010
1563,Sawyer,1Story,5,1968,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,280,05,2010
1564,Sawyer,SFoyer,5,1978,Gable,CompShg,CBlock,GasA,Y,SBrkr,2,591,05,2010
1565,Sawyer,2Story,5,1968,Gable,CompShg,CBlock,GasA,Y,SBrkr,2,480,03,2010
1566,ClearCr,1Story,7,1977,Hip,CompShg,CBlock,GasA,Y,SBrkr,2,690,04,2010
1567,Sawyer,1Story,4,1927,Gable,CompShg,BrkTil,GasA,N,SBrkr,0,440,06,2010
1568,ClearCr,2Story,5,1978,Gable,CompShg,PConc,GasA,Y,SBrkr,1,522,05,2010
1569,Edwards,1.5Fin,4,1938,Gable,CompShg,CBlock,GasA,Y,FuseA,1,480,06,2010
1570,Edwards,1Story,7,1950,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,467,06,2010
1571,Edwards,1.5Fin,6,1947,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,209,06,2010
1572,Edwards,1Story,7,1954,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,366,06,2010
1573,Edwards,1Story,5,2009,Gable,CompShg,PConc,GasA,Y,SBrkr,2,572,01,2010
1574,Edwards,1Story,3,1964,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,504,06,2010
1575,SawyerW,1Story,5,1987,Gable,CompShg,CBlock,GasA,Y,SBrkr,2,528,06,2010
1576,SawyerW,2Story,7,1993,Gable,CompShg,PConc,GasA,Y,SBrkr,1,1017,05,2010
1577,CollgCr,1Story,5,2010,Gable,CompShg,PConc,GasA,Y,SBrkr,0,615,03,2010
1578,SawyerW,1.5Fin,8,1900,Gable,CompShg,PConc,GasA,Y,SBrkr,0,484,03,2010
1579,CollgCr,SFoyer,5,1996,Gable,CompShg,PConc,GasA,Y,SBrkr,0,580,07,2010
1580,CollgCr,2Story,5,1997,Gable,CompShg,PConc,GasA,Y,SBrkr,1,513,04,2010
1581,CollgCr,1Story,8,1977,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,308,06,2010
1582,CollgCr,1Story,6,1972,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,484,06,2010
1583,CollgCr,1Story,5,2003,Hip,CompShg,PConc,GasA,Y,SBrkr,1,850,05,2010
1584,CollgCr,2Story,5,1997,Gable,CompShg,PConc,GasA,Y,SBrkr,1,621,04,2010
1585,CollgCr,1Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,0,420,04,2010
1586,Edwards,1Story,6,1945,Gable,CompShg,CBlock,GasA,N,SBrkr,0,240,04,2010
1587,Edwards,1Story,6,1954,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,319,01,2010
1588,Edwards,1Story,6,1968,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,336,06,2010
1589,Edwards,1.5Fin,5,1948,Gable,CompShg,CBlock,GasA,N,FuseF,0,480,06,2010
1590,Edwards,SLvl,6,1975,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,352,06,2010
1591,Edwards,1Story,5,1958,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,0,05,2010
1592,SWISU,1Story,6,1924,Gable,CompShg,BrkTil,GasA,N,FuseA,1,260,05,2010
1593,SWISU,1Story,6,1939,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,399,03,2010
1594,SWISU,2Story,6,1967,Flat,Tar&Grv,Slab,GasA,Y,SBrkr,0,0,02,2010
1595,SWISU,1.5Fin,2,1931,Gable,CompShg,PConc,GasA,Y,SBrkr,1,0,05,2010
1596,Crawfor,1.5Fin,6,1941,Gable,CompShg,BrkTil,GasA,Y,SBrkr,2,312,07,2010
1597,Crawfor,2Story,6,1950,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,484,03,2010
1598,Crawfor,SLvl,6,1994,Gable,CompShg,PConc,GasA,Y,SBrkr,0,473,06,2010
1599,Blueste,1Story,6,1989,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,598,04,2010
1600,Blueste,1Story,5,1989,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,531,03,2010
1601,IDOTRR,1Story,5,1941,Gable,CompShg,BrkTil,GasA,Y,SBrkr,0,200,04,2010
1602,IDOTRR,1.5Fin,5,1921,Gable,CompShg,BrkTil,GasA,Y,SBrkr,0,625,04,2010
1603,IDOTRR,1Story,7,1896,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,330,06,2010
1604,Crawfor,1Story,5,2004,Hip,CompShg,PConc,GasA,Y,SBrkr,1,525,05,2010
1605,Mitchel,2Story,5,1998,Gable,CompShg,PConc,GasA,Y,SBrkr,1,741,05,2010
1606,Mitchel,SLvl,7,1977,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,473,05,2010
1607,Mitchel,1Story,5,1976,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,776,03,2010
1608,Timber,1Story,5,2008,Gable,CompShg,PConc,GasA,Y,SBrkr,1,660,05,2010
1609,Timber,1Story,5,2009,Gable,CompShg,PConc,GasA,Y,SBrkr,0,520,01,2010
1610,Timber,2Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,0,400,04,2010
1611,Mitchel,1Story,5,1965,Hip,CompShg,CBlock,GasA,Y,SBrkr,1,528,06,2010
1612,Mitchel,1Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,0,624,03,2010
1613,Mitchel,1Story,5,1999,Gable,CompShg,PConc,GasA,Y,SBrkr,1,686,06,2010
1614,MeadowV,1Story,6,1973,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,253,05,2010
1615,MeadowV,2Story,7,1970,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,0,03,2010
1616,MeadowV,2Story,4,1970,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,0,06,2010
1617,MeadowV,2Story,6,1972,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,286,06,2010
1618,Mitchel,1Story,7,1971,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,352,06,2010
1619,Mitchel,1Story,7,1984,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,495,04,2010
1620,Mitchel,2Story,2,1985,Gable,CompShg,PConc,GasA,Y,SBrkr,0,616,02,2010
1621,Mitchel,2Story,5,1991,Gable,CompShg,PConc,GasA,Y,SBrkr,0,576,03,2010
1622,Mitchel,1.5Fin,5,1969,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,275,04,2010
1623,Mitchel,1Story,5,1994,Hip,CompShg,PConc,GasA,Y,SBrkr,2,482,02,2010
1624,Mitchel,2Story,5,1993,Gable,CompShg,PConc,GasA,Y,SBrkr,1,616,03,2010
1625,NAmes,1Story,5,1956,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,502,10,2009
1626,NAmes,1Story,5,1974,Hip,CompShg,CBlock,GasA,Y,SBrkr,1,528,06,2009
1627,Gilbert,2Story,5,1997,Gable,CompShg,PConc,GasA,Y,SBrkr,1,470,07,2009
1628,Gilbert,2Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,1,632,08,2009
1629,Gilbert,SLvl,5,1996,Gable,CompShg,PConc,GasA,Y,SBrkr,1,390,06,2009
1630,StoneBr,1Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,1,564,11,2009
1631,StoneBr,1Story,5,1998,Gable,CompShg,PConc,GasA,Y,SBrkr,0,495,07,2009
1632,StoneBr,1Story,5,1995,Gable,CompShg,PConc,GasA,Y,SBrkr,0,528,9,2009
1633,Gilbert,SLvl,5,1998,Gable,CompShg,PConc,GasA,Y,SBrkr,1,396,02,2009
1634,Gilbert,2Story,5,1998,Gable,CompShg,PConc,GasA,Y,SBrkr,1,440,10,2009
1635,Gilbert,2Story,5,1994,Gable,CompShg,PConc,GasA,Y,SBrkr,1,409,07,2009
1636,Gilbert,1Story,5,1993,Gable,CompShg,PConc,GasA,Y,SBrkr,1,430,11,2009
1637,Gilbert,2Story,6,1977,Gable,CompShg,PConc,GasA,Y,SBrkr,1,567,07,2009
1638,NWAmes,2Story,6,1978,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,529,05,2009
1639,NWAmes,1Story,6,1978,Gable,CompShg,PConc,GasA,Y,SBrkr,1,484,08,2009
1640,NWAmes,2Story,7,1980,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,441,08,2009
1641,NWAmes,1Story,5,1978,Gable,CompShg,PConc,GasA,Y,SBrkr,1,479,05,2009
1642,Somerst,2Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,1,581,06,2009
1643,Somerst,2Story,5,2000,Gable,CompShg,PConc,GasA,Y,SBrkr,1,588,03,2009
1644,Somerst,2Story,5,2002,Gable,CompShg,PConc,GasA,Y,SBrkr,1,565,10,2009
1645,NWAmes,1Story,7,1975,Gable,CompShg,CBlock,GasA,Y,SBrkr,2,478,06,2009
1646,NWAmes,1Story,6,1974,Hip,CompShg,CBlock,GasA,Y,SBrkr,1,528,04,2009
1647,NWAmes,1Story,5,1975,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,506,08,2009
1648,NAmes,1Story,5,1970,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,477,03,2009
1649,NAmes,1Story,7,1971,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,336,07,2009
1650,NAmes,1Story,6,1970,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,576,9,2009
1651,NAmes,1Story,7,1971,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,576,07,2009
1652,BrDale,2Story,5,1973,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,264,07,2009
1653,BrDale,2Story,6,1972,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,288,07,2009
1654,NPkVill,2Story,5,1976,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,440,9,2009
1655,NPkVill,1Story,5,1975,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,440,08,2009
1656,NPkVill,2Story,5,1977,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,440,05,2009
1657,NPkVill,2Story,5,1978,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,440,07,2009
1658,NPkVill,2Story,5,1978,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,440,04,2009
1659,NPkVill,1Story,6,1976,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,345,10,2009
1660,NAmes,1Story,7,1966,Hip,CompShg,PConc,GasA,Y,SBrkr,1,656,07,2009
1661,NridgHt,2Story,5,2007,Hip,CompShg,PConc,GasA,Y,SBrkr,3,754,06,2009
1662,NridgHt,2Story,5,2009,Gable,CompShg,PConc,GasA,Y,SBrkr,1,864,07,2009
1663,NridgHt,1Story,5,2008,Hip,CompShg,PConc,GasA,Y,SBrkr,1,896,05,2009
1664,NridgHt,1Story,5,2007,Hip,CompShg,PConc,GasA,Y,SBrkr,2,762,03,2009
1665,NridgHt,1Story,5,2008,Gable,CompShg,PConc,GasA,Y,SBrkr,1,834,07,2009
1666,NridgHt,1Story,5,2004,Hip,CompShg,PConc,GasA,Y,SBrkr,2,932,04,2009
1667,NridgHt,2Story,5,2007,Gable,CompShg,PConc,GasA,Y,SBrkr,1,640,06,2009
1668,NridgHt,1Story,5,2008,Hip,CompShg,PConc,GasA,Y,SBrkr,1,927,06,2009
1669,NridgHt,1Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,1,700,02,2009
1670,NridgHt,1Story,5,2008,Hip,CompShg,PConc,GasA,Y,SBrkr,1,850,03,2009
1671,NridgHt,1Story,5,2003,Hip,CompShg,PConc,GasA,Y,SBrkr,1,583,06,2009
1672,NridgHt,1Story,5,2003,Hip,CompShg,PConc,GasA,Y,SBrkr,1,886,07,2009
1673,NridgHt,2Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,1,730,06,2009
1674,NridgHt,1Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,1,871,07,2009
1675,NridgHt,1Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,1,484,08,2009
1676,NridgHt,1Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,1,624,03,2009
1677,NridgHt,1Story,5,2007,Gable,CompShg,PConc,GasA,Y,SBrkr,1,484,05,2009
1678,NridgHt,1Story,5,2004,Hip,CompShg,PConc,GasA,Y,SBrkr,1,949,02,2009
1679,NridgHt,1Story,5,2003,Hip,CompShg,PConc,GasA,Y,SBrkr,1,685,07,2009
1680,NridgHt,1Story,5,2008,Hip,CompShg,PConc,GasA,Y,SBrkr,1,649,05,2009
1681,NridgHt,1Story,5,2008,Hip,CompShg,PConc,GasA,Y,SBrkr,1,539,04,2009
1682,NridgHt,1Story,5,2002,Hip,CompShg,PConc,GasA,Y,SBrkr,1,701,9,2009
1683,NridgHt,1Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,1,478,11,2009
1684,Gilbert,2Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,1,390,06,2009
1685,Gilbert,2Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,1,392,07,2009
1686,Blmngtn,1Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,1,397,08,2009
1687,Gilbert,SLvl,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,1,400,08,2009
1688,Gilbert,2Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,1,436,9,2009
1689,Gilbert,2Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,1,434,07,2009
1690,Gilbert,2Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,1,400,06,2009
1691,Gilbert,2Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,1,393,05,2009
1692,Gilbert,2Story,5,2002,Gable,CompShg,PConc,GasA,Y,SBrkr,1,644,07,2009
1693,Gilbert,SLvl,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,0,400,05,2009
1694,Gilbert,2Story,5,2000,Gable,CompShg,PConc,GasA,Y,SBrkr,1,394,06,2009
1695,Gilbert,SLvl,5,1999,Gable,CompShg,PConc,GasA,Y,SBrkr,1,400,03,2009
1696,Gilbert,2Story,5,1999,Gable,CompShg,PConc,GasA,Y,SBrkr,1,658,05,2009
1697,Gilbert,SLvl,6,1999,Gable,CompShg,PConc,GasA,Y,SBrkr,1,410,06,2009
1698,NoRidge,2Story,5,2000,Gable,CompShg,PConc,GasA,Y,SBrkr,2,810,9,2009
1699,NoRidge,1Story,5,1994,Hip,CompShg,PConc,GasA,Y,SBrkr,2,815,06,2009
1700,NoRidge,2Story,5,1995,Gable,CompShg,PConc,GasA,Y,SBrkr,1,647,11,2009
1701,NoRidge,2Story,5,1993,Gable,CompShg,PConc,GasA,Y,SBrkr,1,623,10,2009
1702,Somerst,1Story,5,2008,Gable,CompShg,PConc,GasA,Y,SBrkr,0,972,9,2009
1703,Somerst,1Story,5,2008,Gable,CompShg,PConc,GasA,Y,SBrkr,1,726,9,2009
1704,Somerst,1Story,5,2007,Gable,CompShg,PConc,GasA,Y,SBrkr,1,844,03,2009
1705,Somerst,1Story,5,2006,Hip,CompShg,PConc,GasA,Y,SBrkr,1,492,9,2009
1706,Somerst,1Story,5,2005,Hip,CompShg,PConc,GasA,Y,SBrkr,2,795,10,2009
1707,Somerst,1Story,5,2008,Gable,CompShg,PConc,GasA,Y,SBrkr,0,529,10,2009
1708,Somerst,1Story,5,2008,Hip,CompShg,PConc,GasA,Y,SBrkr,0,625,05,2009
1709,Somerst,1Story,5,2007,Gable,CompShg,PConc,GasA,Y,SBrkr,1,984,05,2009
1710,Somerst,1Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,1,692,06,2009
1711,Somerst,2Story,5,2006,Hip,CompShg,PConc,GasA,Y,SBrkr,1,782,07,2009
1712,Somerst,1Story,5,2008,Hip,CompShg,PConc,GasA,Y,SBrkr,1,517,10,2009
1713,Somerst,1Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,1,711,03,2009
1714,Somerst,1Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,0,588,08,2009
1715,Somerst,2Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,0,628,03,2009
1716,SawyerW,1Story,6,2007,Gable,CompShg,PConc,GasA,Y,SBrkr,0,576,04,2009
1717,SawyerW,1Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,0,484,06,2009
1718,SawyerW,1Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,0,0,08,2009
